#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential
212,tophjælp bil,dk,0,400,2.5,1.04,topdanmark vejhjælp,02/01/2022 10:04,"People also ask,Sitelinks,Image pack",400,2500
213,streamers til bil,dk,0,400,1,,streamer til bil,12/01/2022 21:51,"Sitelinks,Top stories,Videos,Image pack",400,400
214,oplader til bil,dk,2,400,0.8,1.19,oplader til bil,25/12/2021 08:00,"Sitelinks,People also ask,Image pack",400,1300
215,siddepude bil,dk,0,400,0.3,0.84,selepude,31/12/2021 08:15,"Shopping results,Thumbnails,Sitelinks,People also ask,Image pack",400,1500
216,morgan bil,dk,0,400,0.06,0.64,morgan,25/12/2021 13:11,"Featured snippet,Sitelinks",1300,200
217,elektrisk bil børn,dk,0,400,1,,elbiler børn,06/01/2022 14:56,"Sitelinks,Image pack",400,2300
218,omregistrering af bil pris,dk,3,400,0.9,0.9,omregistrering af bil,16/01/2022 08:59,"Featured snippet,People also ask,Image pack",400,27000
219,fri bil,dk,4,400,0,1.23,fri bil,21/12/2021 09:20,"Sitelinks,People also ask",600,2900
220,cykelhållare bil,dk,1,400,,,cykelhållare bil,09/01/2022 16:48,"Sitelinks,People also ask,Image pack",1800,80
221,bedste brugte bil 2021,dk,1,400,,,bedste brugte bil,16/12/2021 12:23,"Featured snippet,People also ask,Sitelinks,Image pack",400,150
222,rugbrød bil,dk,0,400,0.5,0.21,id buzz vw,04/01/2022 13:40,"Featured snippet,Sitelinks",400,1600
223,leasing af bil billig,dk,11,400,1.8,2.2,billig leasing,23/01/2022 03:34,"Featured snippet,People also ask,Sitelinks",400,9300
224,ny nøgle til bil,dk,3,400,0.7,1,ny bilnøgle,10/12/2021 15:41,"People also ask,Sitelinks,Adwords bottom",400,600
225,konfiskering af bil,dk,2,400,0,,konfiskation af bil,07/01/2022 16:21,"People also ask,Sitelinks",400,300
226,nakkestøtte til bil,dk,0,400,0.3,0.86,pude til bilsæde,21/12/2021 04:53,"Sitelinks,Image pack",400,250
227,streamer til bil,dk,0,400,1.1,1.25,streamers til bil,30/12/2021 02:33,"Featured snippet,Sitelinks",400,300
228,ansvarsforsikring bil pris,dk,7,400,6,1.2,ansvarsforsikring bil pris,25/12/2021 09:15,"Featured snippet,People also ask,Sitelinks",450,900
229,einarssons bil älmhult,dk,0,400,,,einarssons bil älmhult,02/01/2022 05:19,"Sitelinks,Knowledge panel,Image pack",800,250
230,booster til bil,dk,0,400,0.6,1.03,starthjælp,18/12/2021 20:32,"Sitelinks,People also ask,Top stories,Videos,Image pack",400,600
231,kaskoforsikring bil,dk,7,400,5,0.62,kaskoforsikring,14/12/2021 03:28,"People also ask,Sitelinks",450,900
232,hvilken olie bruger min bil,dk,0,400,0.1,1.73,olie til biler,26/12/2021 08:19,"Featured snippet,People also ask,Sitelinks,Image pack",400,1100
233,aktiv subwoofer bil,dk,0,400,0.1,1.44,subwoofer til bil,13/01/2022 17:27,"Sitelinks,Image pack",1000,300
234,aircondition bil,dk,0,400,1,0.76,aircondition i bil,07/01/2022 04:42,People also ask,700,50
235,tilbehør til bil,dk,1,400,0.4,1.27,bil tilbehør,05/01/2022 15:58,Sitelinks,500,1500
236,bil dæk,dk,28,400,0.5,1.46,thansen dæk,07/01/2022 12:33,"Sitelinks,Image pack,Adwords bottom",400,11000
237,diba bil,dk,2,400,,,diba,12/01/2022 10:31,"Sitelinks,People also ask",400,5600
238,lada bil,dk,0,400,0,0.43,lada,12/12/2021 22:43,"Image pack,Sitelinks,People also ask",2400,600
239,advarselslamper bil,dk,0,400,0.8,0.94,bil symboler betydelse,11/01/2022 11:04,"Image pack,People also ask,Sitelinks,Top stories,Videos",450,1000
240,elektrisk bil,dk,3,400,0.8,0.63,elbil,17/01/2022 19:19,"People also ask,Sitelinks,Top stories,Videos",1700,1100
241,grufman bil,dk,0,400,,,grufman bil,15/12/2021 16:08,"Sitelinks,Knowledge panel,Image pack",1700,150
242,billig brugt bil,dk,22,400,0.25,1.38,biltorvet,11/12/2021 02:50,"Sitelinks,People also ask",450,73000
243,lej en bil i en måned,dk,3,400,2,1.98,avis minilease,02/01/2022 13:35,"Featured snippet,People also ask,Sitelinks",400,3400
244,lej bil københavn,dk,5,400,3,1.37,biludlejning københavn,18/01/2022 21:02,"People also ask,Image pack",450,1400
245,billig ny bil,dk,0,400,3,1.68,billig lille bil,16/01/2022 02:43,"Featured snippet,People also ask,Sitelinks",600,1500
246,langtidsleje bil,dk,3,400,1.1,1.95,langtidsleje bil,16/12/2021 05:16,"Sitelinks,Image pack",400,300
247,polering af bil pris,dk,0,400,0.8,1.56,polering af bil pris,09/12/2021 18:32,"Featured snippet,People also ask,Knowledge panel,Sitelinks,Adwords bottom",450,350
248,slik bil,dk,2,400,,,slikbilen,21/12/2021 22:27,"Sitelinks,Top stories,Thumbnails,Image pack",400,12000
249,bedste brugt bil 2020,dk,0,400,,,bedste brugt bil 2020,10/12/2021 11:31,"Featured snippet,People also ask,Top stories,Videos,Image pack",400,900
250,fdm forsikring bil,dk,4,400,1.3,0.98,fdm forsikring,08/01/2022 18:25,"Adwords top,Sitelinks,People also ask,Image pack",450,7500
251,bmw el bil,dk,0,400,0.4,0.84,elbiler 2021,19/01/2022 23:09,"Adwords top,Sitelinks,People also ask,Image pack",1000,1500
252,stickers til bil,dk,1,400,0.9,1.79,stickers,01/01/2022 22:31,"Sitelinks,Image pack",500,3500
253,bil radio,dk,0,400,0.07,1.08,bilradio thansen,05/01/2022 15:18,Sitelinks,1600,1500
